S.NO,QUESTIONS,Tag
1,What is the step by step guide to invest in share market in india?,Information
2,What is the story of Kohinoor (Koh-i-Noor) Diamond?,Information
3,How can I increase the speed of my internet connection while using a VPN?,Information
4,How do I read and find my YouTube comments?,Information
5,What universities does Rexnord recruit new grads from? What majors are they looking for?,Information
6,Why am I mentally very lonely? How can I solve it?,Opinion
7,Should I buy tiago?,Opinion
8,How can I be a good geologist?,Opinion
9,What can make Physics easy to learn?,Opinion
10,Why do girls want to be friends with the guy they reject?,Opinion
11,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Subject
12,Method to find separation of slits using fresnel biprism?,Subject
13,How much is 30 kV in HP?,Subject
14,What is web application?,Subject
15,How many years Britain ruled India?,Subject
