Can I get a California driver's license without having/owning a car to take the test in?,information,18,"[('Can', 'MD'), ('I', 'PRP'), ('get', 'VB'), ('a', 'DT'), ('California', 'NNP'), ('driver', 'NN'), ('s', 'NN'), ('license', 'NN'), ('without', 'IN'), ('having', 'VBG'), ('owning', 'VBG'), ('a', 'DT'), ('car', 'NN'), ('to', 'TO'), ('take', 'VB'), ('the', 'DT'), ('test', 'NN'), ('in', 'IN')]",0,0,3,0,0,2,0,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0
1GB is equal to how many MB? Google is showing 1000 MB but my computer storage is showing the story of 1024 MB.,information,23,"[('1GB', 'CD'), ('is', 'VBZ'), ('equal', 'JJ'), ('to', 'TO'), ('how', 'WRB'), ('many', 'JJ'), ('MB', 'NNP'), ('Google', 'NNP'), ('is', 'VBZ'), ('showing', 'VBG'), ('1000', 'CD'), ('MB', 'NNP'), ('but', 'CC'), ('my', 'PRP$'), ('computer', 'NN'), ('storage', 'NN'), ('is', 'VBZ'), ('showing', 'VBG'), ('the', 'DT'), ('story', 'NN'), ('of', 'IN'), ('1024', 'CD'), ('MB', 'NNP')]",1,3,1,0,0,1,2,0,0,0,0,3,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,1,0
A hammer and a nail cost $1.10  and the hammer costs one dollar more than the nail. How much does the nail cost?,information,24,"[('A', 'DT'), ('hammer', 'NN'), ('and', 'CC'), ('a', 'DT'), ('nail', 'NN'), ('cost', 'NN'), ('1', 'CD'), ('10', 'CD'), ('and', 'CC'), ('the', 'DT'), ('hammer', 'NN'), ('costs', 'VBZ'), ('one', 'CD'), ('dollar', 'NN'), ('more', 'RBR'), ('than', 'IN'), ('the', 'DT'), ('nail', 'JJ'), ('How', 'WRB'), ('much', 'RB'), ('does', 'VBZ'), ('the', 'DT'), ('nail', 'NN'), ('cost', 'NN')]",2,3,5,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
According to Einstein's theory of relativity  gravity is not pulling us down but space is pushing us down. Does that mean there is no gravity?,information,26,"[('According', 'VBG'), ('to', 'TO'), ('Einstein', 'NNP'), ('s', 'JJ'), ('theory', 'NN'), ('of', 'IN'), ('relativity', 'NN'), ('gravity', 'NN'), ('is', 'VBZ'), ('not', 'RB'), ('pulling', 'VBG'), ('us', 'PRP'), ('down', 'RP'), ('but', 'CC'), ('space', 'NN'), ('is', 'VBZ'), ('pushing', 'VBG'), ('us', 'PRP'), ('down', 'RP'), ('Does', 'NNP'), ('that', 'IN'), ('mean', 'VB'), ('there', 'EX'), ('is', 'VBZ'), ('no', 'DT'), ('gravity', 'NN')]",1,0,1,1,0,2,1,0,0,0,0,5,0,2,0,0,0,2,0,1,0,0,2,1,0,1,0,3,0,0,3,0,0,0,0,0
Aerodynamically what happens when propellor rotates?,information,6,"[('Aerodynamically', 'RB'), ('what', 'WP'), ('happens', 'VBZ'), ('when', 'WRB'), ('propellor', 'NN'), ('rotates', 'NNS')]",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Are exocytosis and endocytosis examples of active or passive transport?,information,10,"[('Are', 'NNP'), ('exocytosis', 'NN'), ('and', 'CC'), ('endocytosis', 'NN'), ('examples', 'NNS'), ('of', 'IN'), ('active', 'JJ'), ('or', 'CC'), ('passive', 'JJ'), ('transport', 'NN')]",2,0,0,0,0,1,2,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Are there any institutions offering education courses in programmatic buying and selling/ digital media buying and selling in the United States?,information,21,"[('Are', 'NNP'), ('there', 'EX'), ('any', 'DT'), ('institutions', 'NNS'), ('offering', 'VBG'), ('education', 'NN'), ('courses', 'NNS'), ('in', 'IN'), ('programmatic', 'JJ'), ('buying', 'NN'), ('and', 'CC'), ('selling', 'NN'), ('digital', 'JJ'), ('media', 'NNS'), ('buying', 'NN'), ('and', 'CC'), ('selling', 'NN'), ('in', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS')]",2,0,2,1,0,2,2,0,0,0,0,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Can Delhi University give year back to second year students admitted in 2014 for getting less than 40%?,information,18,"[('Can', 'MD'), ('Delhi', 'NNP'), ('University', 'NNP'), ('give', 'VBP'), ('year', 'NN'), ('back', 'RB'), ('to', 'TO'), ('second', 'JJ'), ('year', 'NN'), ('students', 'NNS'), ('admitted', 'VBN'), ('in', 'IN'), ('2014', 'CD'), ('for', 'IN'), ('getting', 'VBG'), ('less', 'JJR'), ('than', 'IN'), ('40', 'CD')]",0,2,0,0,0,3,1,1,0,0,1,2,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
Can excessive amounts of Vitamin C cause me to have a miscarriage?,information,12,"[('Can', 'MD'), ('excessive', 'VB'), ('amounts', 'NNS'), ('of', 'IN'), ('Vitamin', 'NNP'), ('C', 'NNP'), ('cause', 'VB'), ('me', 'PRP'), ('to', 'TO'), ('have', 'VB'), ('a', 'DT'), ('miscarriage', 'NN')]",0,0,1,0,0,1,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
Can I take my 14 year old son to the Global Citizen India Festival (with Coldplay)?,information,16,"[('Can', 'MD'), ('I', 'PRP'), ('take', 'VB'), ('my', 'PRP$'), ('14', 'CD'), ('year', 'NN'), ('old', 'JJ'), ('son', 'NN'), ('to', 'TO'), ('the', 'DT'), ('Global', 'NNP'), ('Citizen', 'NNP'), ('India', 'NNP'), ('Festival', 'NNP'), ('with', 'IN'), ('Coldplay', 'NNP')]",0,1,1,0,0,1,1,0,0,0,1,2,0,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
