Questions,Possesive ?
What is the step by step guide to invest in share market in india?,0,Not Opinion
What is the story of Kohinoor (Koh-i-Noor) Diamond?,0,Not Opinion
How can I increase the speed of my internet connection while using a VPN?,1,Opinion
Why am I mentally very lonely? How can I solve it?,0,Not Opinion
Which one dissolve in water quikly sugar salt methane and carbon di oxide?,0,Not Opinion
Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,0,Not Opinion
Should I buy tiago?,0,Not Opinion
How can I be a good geologist?,0,Not Opinion
When do you use シ instead of し?,0,Not Opinion
Motorola (company): Can I hack my Charter Motorolla DCX3400?,1,Opinion
Method to find separation of slits using fresnel biprism?,0,Not Opinion
How do I read and find my YouTube comments?,1,Opinion
What can make Physics easy to learn?,0,Not Opinion
What was your first sexual experience like?,1,Opinion
What are the laws to change your status from a student visa to a green card in the US how do they compare to the immigration laws in Canada?,1,Opinion
What would a Trump presidency mean for current international master’s students on an F1 visa?,0,Not Opinion
What does manipulation mean?,0,Not Opinion
Why do girls want to be friends with the guy they reject?,0,Not Opinion
Why are so many Quora users posting questions that are readily answered on Google?,0,Not Opinion
Which is the best digital marketing institution in banglore?,0,Not Opinion
Why do rockets look white?,0,Not Opinion
What's causing someone to be jealous?,0,Not Opinion
What are the questions should not ask on Quora?,0,Not Opinion
How much is 30 kV in HP?,0,Not Opinion
What does it mean that every time I look at the clock the numbers are the same?,0,Not Opinion
What are some tips on making it through the job interview process at Medicines?,0,Not Opinion
What is web application?,0,Not Opinion
Does society place too much importance on sports?,0,Not Opinion
What is best way to make money online?,0,Not Opinion
How should I prepare for CA final law?,0,Not Opinion
What's one thing you would like to do better?,0,Not Opinion
What are some special cares for someone with a nose that gets stuffy during the night?,0,Not Opinion
What Game of Thrones villain would be the most likely to give you mercy?,0,Not Opinion
Does the United States government still blacklist (employment etc.) some United States citizens because their political views?,1,Opinion
What is the best travel website in spain?,0,Not Opinion
Why do some people think Obama will try to take their guns away?,1,Opinion
I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,1,Opinion
"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"" what should one reply to her?",1,Opinion
How do we prepare for UPSC?,0,Not Opinion
What is the stall speed and AOA of an f-14 with wings fully swept back?,0,Not Opinion
Why do Slavs squat?,0,Not Opinion
When can I expect my Cognizant confirmation mail?,1,Opinion
Can I make 50 000 a month by day trading?,0,Not Opinion
Is being a good kid and not being a rebel worth it in the long run?,0,Not Opinion
What universities does Rexnord recruit new grads from? What majors are they looking for?,0,Not Opinion
What is the quickest way to increase Instagram followers?,0,Not Opinion
How did Darth Vader fought Darth Maul in Star Wars Legends?,0,Not Opinion
What are the stages of breaking up between couple? I mean  what happens after the breaking up emotionally whether its a male or female?,1,Opinion
What are some examples of products that can be make from crude oil?,0,Not Opinion
How do I make friends.,0,Not Opinion
Is Career Launcher good for RBI Grade B preparation?,0,Not Opinion
Will a Blu Ray play on a regular DVD player? If so  how?,0,Not Opinion
Nd she is always sad?,0,Not Opinion
What is the best/most memorable thing you've ever eaten and why?,0,Not Opinion
How GST affects the CAs and tax officers?,0,Not Opinion
How difficult is it get into RSI?,0,Not Opinion
Who is israil friend?,0,Not Opinion
What are some good rap songs to dance to?,0,Not Opinion
I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,1,Opinion
What are the best ways to learn French?,0,Not Opinion
How do I download content from a kickass torrent without registration?,0,Not Opinion
Is it normal to have a dark ring around the iris of my eye?,1,Opinion
How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,0,Not Opinion
