S.NO,QUESTIONS,Tag
1,What is the best civil engineering company for a job?,Info
2,What is the meaning of the Hindi word 'sharbat'?,Info
3,How can I get my neighbor's WiFi password using an app?,Info
4,What is there to research in the field of computer science?,Info
5,What are Bitcoin?,Info
6,"When was the last time someone was on the moon, and why?",Info
7,Does Mexico have a wall on its southern border?,Info
8,Synonyms for wanderer?,Info
9,How do I apply for a PAN card?,Info
10,How can a student with visa get to college in US?,Info
11,What are the best books on pranayama?,Opinion
12,What is the limit of asking questions in Quora?,Opinion
13,What is one of the best feelings in the world?,Opinion
14,"I'm a fourth year medical student and I feel like I know nothing about medicine. It feels like I'll never become a doctor, let alone a good doctor. Is this a common feeling? Will it fade with time?",Opinion
15,Is Kindle a Good buy?,Opinion
16,Why does l/m is called as a poisson's ratio?,Opinion
17,What are the best travel books?,Opinion
18,"Which is better, Samsung or Apple?",Opinion
19,Can skipping increase your height?,Opinion
20,Why is Quora addicting?,Opinion
21,What's the difference between a promise and a callback in Javascript?,Subject
22,How do I use Muller’s method to determine the positive real root of (a) A? (x) = x3 + x2 - 3x - 5 (b) A? (x) = x3 – 0.5x2 + 4x – 3?,Subject
23,What is the difference between descriptive and prescriptive grammar?,Subject
24,What type of braking is used in lifts? Mechanical breaking or electrical breaking?,Subject
25,What is the data flow?,Subject
26,Father of economic?,Subject
27,What is the difference between heat transfer and work transfer?,Subject
28,What are the different phases of cell cycle?,Subject
29,What are the differences between pharmacology and pharmacy?,Subject
30,What is spandrel beam?,Subject
